doc_id,sentence_id,mention_text,canonical_name,label,context,source,evidence,confidence
wiki_alan_turing_021,6,King's College,King's College,Organization,"Later that year, Turing was elected a Fellow of King's College on the strength of his dissertation where he served as a lecturer.",wikipedia,"Later that year, Turing was elected a Fellow of King's College on the strength of his dissertation where he served as a lecturer.",high
wiki_alan_turing_022,1,Alonzo Church,Alonzo Church,Person,"Between the springs of 1935 and 1936, at the same time as Alonzo Church, Turing worked on the decidability of problems, starting from Gödel's incompleteness theorems.",wikipedia,"Between the springs of 1935 and 1936, at the same time as Alonzo Church, Turing worked on the decidability of problems, starting from Gödel's incompleteness theorems.",high
wiki_alan_turing_022,4,On Computable Numbers,On Computable Numbers,Work,"Finally, on 28 May of that year, he finished and delivered his 36-page paper for publication called ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",wikipedia,"Finally, on 28 May of that year, he finished and delivered his 36-page paper for publication called ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",high
wiki_alan_turing_022,9,Turing machine,Turing machine,Theory,He went on to prove that there was no solution to the decision problem by first showing that the halting problem for Turing machines is undecidable: it is not possible to decide algorithmically whether a Turing machine will ever halt.,wikipedia,He went on to prove that there was no solution to the decision problem by first showing that the halting problem for Turing machines is undecidable: it is not possible to decide algorithmically whether a Turing machine will ever halt.,medium
wiki_alan_turing_023,2,Turing machine,Turing machine,Theory,"It also included a notion of a 'Universal Machine' (now known as a universal Turing machine), with the idea that such a machine could perform the tasks of any other computation machine (as indeed could Church's lambda calculus).",wikipedia,"It also included a notion of a 'Universal Machine' (now known as a universal Turing machine), with the idea that such a machine could perform the tasks of any other computation machine (as indeed could Church's lambda calculus).",medium
wiki_alan_turing_023,4,John von Neumann,John von Neumann,Person,John von Neumann acknowledged that the central concept of the modern computer was due to Turing's paper.,wikipedia,John von Neumann acknowledged that the central concept of the modern computer was due to Turing's paper.,high
wiki_alan_turing_024,1,Princeton University,Princeton University,Organization,"From September 1936 to July 1938, Turing spent most of his time studying under Church at Princeton University, in the second year as a Jane Eliza Procter Visiting Fellow.",wikipedia,"From September 1936 to July 1938, Turing spent most of his time studying under Church at Princeton University, in the second year as a Jane Eliza Procter Visiting Fellow.",high
wiki_alan_turing_026,1,Bletchley Park,Bletchley Park,Organization,"During the Second World War, Turing was a leading participant in the breaking of German ciphers at Bletchley Park.",wikipedia,"During the Second World War, Turing was a leading participant in the breaking of German ciphers at Bletchley Park.",high
wiki_alan_turing_028,1,Bletchley Park,Bletchley Park,Organization,"On 4 September 1939, the day after the UK declared war on Germany, Turing reported to Bletchley Park, the wartime station of GC&CS.",wikipedia,"On 4 September 1939, the day after the UK declared war on Germany, Turing reported to Bletchley Park, the wartime station of GC&CS.",high
wiki_alan_turing_032,1,Bletchley Park,Bletchley Park,Organization,Turing had a reputation for eccentricity at Bletchley Park.,wikipedia,Turing had a reputation for eccentricity at Bletchley Park.,high
wiki_alan_turing_034,1,Bletchley Park,Bletchley Park,Organization,"Peter Hilton recounted his experience working with Turing in Hut 8 in his ""Reminiscences of Bletchley Park"" from A Century of Mathematics in America:",wikipedia,"Peter Hilton recounted his experience working with Turing in Hut 8 in his ""Reminiscences of Bletchley Park"" from A Century of Mathematics in America:",high
wiki_alan_turing_036,1,Alan Turing,Alan Turing,Person,"Alan Turing was such a genius, and those, like myself, who had the astonishing and unexpected opportunity, created by the strange exigencies of the Second World War, to be able to count Turing as colleague and friend will never forget that experience, nor can we ever lose its immense benefit to us.",wikipedia,"Alan Turing was such a genius, and those, like myself, who had the astonishing and unexpected opportunity, created by the strange exigencies of the Second World War, to be able to count Turing as colleague and friend will never forget that experience, nor can we ever lose its immense benefit to us.",high
wiki_alan_turing_040,1,Bletchley Park,Bletchley Park,Organization,"At the end of the war, a memo was sent to all those who had worked at Bletchley Park, reminding them that the code of silence dictated by the Official Secrets Act did not end with the war but would continue indefinitely.",wikipedia,"At the end of the war, a memo was sent to all those who had worked at Bletchley Park, reminding them that the code of silence dictated by the Official Secrets Act did not end with the war but would continue indefinitely.",high
wiki_alan_turing_041,1,Bletchley Park,Bletchley Park,Organization,"Within weeks of arriving at Bletchley Park, Turing had specified an electromechanical machine called the bombe, which could break Enigma more effectively than the Polish bomba kryptologiczna, from which its name was derived.",wikipedia,"Within weeks of arriving at Bletchley Park, Turing had specified an electromechanical machine called the bombe, which could break Enigma more effectively than the Polish bomba kryptologiczna, from which its name was derived.",high
wiki_alan_turing_045,5,Bletchley Park,Bletchley Park,Organization,"The cryptographers at Bletchley Park did not know of the Prime Minister's response, but as Milner-Barry recalled, ""All that we did notice was that almost from that day the rough ways began miraculously to be made smooth."" More than two hundred bombes were in operation by the end of the war.",wikipedia,"The cryptographers at Bletchley Park did not know of the Prime Minister's response, but as Milner-Barry recalled, ""All that we did notice was that almost from that day the rough ways began miraculously to be made smooth."" More than two hundred bombes were in operation by the end of the war.",high
wiki_alan_turing_051,2,Bletchley Park,Bletchley Park,Organization,He returned to Bletchley Park in March 1943.,wikipedia,He returned to Bletchley Park in March 1943.,high
wiki_alan_turing_051,4,Bletchley Park,Bletchley Park,Organization,Turing became a general consultant for cryptanalysis at Bletchley Park.,wikipedia,Turing became a general consultant for cryptanalysis at Bletchley Park.,high
wiki_alan_turing_053,2,Bletchley Park,Bletchley Park,Organization,This was a teleprinter rotor cipher attachment codenamed Tunny at Bletchley Park.,wikipedia,This was a teleprinter rotor cipher attachment codenamed Tunny at Bletchley Park.,high
wiki_alan_turing_056,1,Bletchley Park,Bletchley Park,Organization,"Although ACE was a feasible design, the effect of the Official Secrets Act surrounding the wartime work at Bletchley Park made it impossible for Turing to explain the basis of his analysis of how a computer installation involving human operators would work.",wikipedia,"Although ACE was a feasible design, the effect of the Official Secrets Act surrounding the wartime work at Bletchley Park made it impossible for Turing to explain the basis of his analysis of how a computer installation involving human operators would work.",high
wiki_alan_turing_058,6,Turing test,Turing test,Theory,"During this time, he continued to do more abstract work in mathematics, and in ""Computing Machinery and Intelligence"", Turing addressed the problem of artificial intelligence, and proposed an experiment that became known as the Turing test, an attempt to define a standard for a machine to be called ""intelligent"".",wikipedia,"During this time, he continued to do more abstract work in mathematics, and in ""Computing Machinery and Intelligence"", Turing addressed the problem of artificial intelligence, and proposed an experiment that became known as the Turing test, an attempt to define a standard for a machine to be called ""intelligent"".",medium
wiki_alan_turing_058,9,Turing test,Turing test,Theory,A reversed form of the Turing test is widely used on the Internet; the CAPTCHA test is intended to determine whether the user is a human or a computer.,wikipedia,A reversed form of the Turing test is widely used on the Internet; the CAPTCHA test is intended to determine whether the user is a human or a computer.,medium
wiki_alan_turing_060,1,Turing test,Turing test,Theory,"His Turing test was a significant, characteristically provocative, and lasting contribution to the debate regarding artificial intelligence, which continues after more than half a century.",wikipedia,"His Turing test was a significant, characteristically provocative, and lasting contribution to the debate regarding artificial intelligence, which continues after more than half a century.",medium
wiki_alan_turing_064,2,Bletchley Park,Bletchley Park,Organization,"In order to protect it, he bought two silver bars weighing 3,200 oz (90 kg) and worth £250 (in 2022, £8,000 adjusted for inflation, £48,000 at spot price) and buried them in a wood near Bletchley Park.",wikipedia,"In order to protect it, he bought two silver bars weighing 3,200 oz (90 kg) and worth £250 (in 2022, £8,000 adjusted for inflation, £48,000 at spot price) and buried them in a wood near Bletchley Park.",high
wiki_alan_turing_080,1,Alan Turing,Alan Turing,Person,Thousands of people have come together to demand justice for Alan Turing and recognition of the appalling way he was treated.,wikipedia,Thousands of people have come together to demand justice for Alan Turing and recognition of the appalling way he was treated.,high
wiki_alan_turing_082,1,Alan Turing,Alan Turing,Person,"We ask the HM Government to grant a pardon to Alan Turing for the conviction of ""gross indecency"".",wikipedia,"We ask the HM Government to grant a pardon to Alan Turing for the conviction of ""gross indecency"".",high
wiki_alan_turing_082,4,Alan Turing,Alan Turing,Person,Alan Turing was driven to a terrible despair and early death by the nation he'd done so much to save.,wikipedia,Alan Turing was driven to a terrible despair and early death by the nation he'd done so much to save.,high
wiki_alan_turing_082,7,Alan Turing,Alan Turing,Person,"It may act as an apology to many of the other gay men, not as well-known as Alan Turing, who were subjected to these laws.",wikipedia,"It may act as an apology to many of the other gay men, not as well-known as Alan Turing, who were subjected to these laws.",high
wiki_alan_turing_084,1,Alan Turing,Alan Turing,Person,A posthumous pardon was not considered appropriate as Alan Turing was properly convicted of what at the time was a criminal offence.,wikipedia,A posthumous pardon was not considered appropriate as Alan Turing was properly convicted of what at the time was a criminal offence.,high
wiki_alan_turing_084,3,Alan Turing,Alan Turing,Person,It is tragic that Alan Turing was convicted of an offence that now seems both cruel and absurd—particularly poignant given his outstanding contribution to the war effort.,wikipedia,It is tragic that Alan Turing was convicted of an offence that now seems both cruel and absurd—particularly poignant given his outstanding contribution to the war effort.,high
wiki_alan_turing_088,1,Alan Turing,Alan Turing,Person,"In September 2016, the government announced its intention to expand this retroactive exoneration to other men convicted of similar historical indecency offences, in what was described as an ""Alan Turing law"".",wikipedia,"In September 2016, the government announced its intention to expand this retroactive exoneration to other men convicted of similar historical indecency offences, in what was described as an ""Alan Turing law"".",high
wiki_alan_turing_088,2,Alan Turing,Alan Turing,Person,"The Alan Turing law is now an informal term for the law in the United Kingdom, contained in the Policing and Crime Act 2017, which serves as an amnesty law to retroactively pardon men who were cautioned or convicted under historical legislation that outlawed homosexual acts.",wikipedia,"The Alan Turing law is now an informal term for the law in the United Kingdom, contained in the Policing and Crime Act 2017, which serves as an amnesty law to retroactively pardon men who were cautioned or convicted under historical legislation that outlawed homosexual acts.",high
wiki_alan_turing_088,4,Alan Turing,Alan Turing,Person,"Due to his repeated attempts to bring attention to the issue, Leech is now regularly described as the ""architect"" of Turing's pardon and subsequently the Alan Turing Law, which went on to secure pardons for 75,000 other men and women.",wikipedia,"Due to his repeated attempts to bring attention to the issue, Leech is now regularly described as the ""architect"" of Turing's pardon and subsequently the Alan Turing Law, which went on to secure pardons for 75,000 other men and women.",high
wiki_alan_turing_090,3,Alan Turing,Alan Turing,Person,"""The Mind and the Computing Machine: Alan Turing and others"".",wikipedia,"""The Mind and the Computing Machine: Alan Turing and others"".",high
wiki_alan_turing_091,3,Alan Turing,Alan Turing,Person,"""Alan Turing: Father of the Modern Computer"".",wikipedia,"""Alan Turing: Father of the Modern Computer"".",high
wiki_alan_turing_092,2,Alan Mathison,Alan Mathison,Person,"""Turing, Alan Mathison"".",wikipedia,"""Turing, Alan Mathison"".",medium
wiki_alan_turing_093,2,Alan Turing,Alan Turing,Person,"""Alan Turing"".",wikipedia,"""Alan Turing"".",high
wiki_alan_turing_094,2,Alan Turing,Alan Turing,Person,"""Computer Scientist: Alan Turing"".",wikipedia,"""Computer Scientist: Alan Turing"".",high
wiki_alan_turing_095,2,Alan Turing,Alan Turing,Person,"""Did Alan Turing have Asperger's syndrome?"".",wikipedia,"""Did Alan Turing have Asperger's syndrome?"".",high
wiki_alan_turing_096,2,Alan Mathison Turing,Alan Mathison Turing,Person,"""Alan Mathison Turing"".",wikipedia,"""Alan Mathison Turing"".",medium
wiki_alan_turing_103,2,Alan Turing,Alan Turing,Person,"""Die Maschinen von Charles Babbage, Alan Turing und John von Neumann"".",wikipedia,"""Die Maschinen von Charles Babbage, Alan Turing und John von Neumann"".",high
wiki_alan_turing_103,2,John von Neumann,John von Neumann,Person,"""Die Maschinen von Charles Babbage, Alan Turing und John von Neumann"".",wikipedia,"""Die Maschinen von Charles Babbage, Alan Turing und John von Neumann"".",high
wiki_alan_turing_107,3,Alan Turing,Alan Turing,Person,Alan Turing: His Work and Impact.,wikipedia,Alan Turing: His Work and Impact.,high
wiki_alan_turing_113,2,Alan Turing,Alan Turing,Person,Alan Turing: en berättelse.,wikipedia,Alan Turing: en berättelse.,high
wiki_alan_turing_116,2,Turing Machine,Turing Machine,Theory,The Annotated Turing: A Guided Tour through Alan Turing's Historic Paper on Computability and the Turing Machine.,wikipedia,The Annotated Turing: A Guided Tour through Alan Turing's Historic Paper on Computability and the Turing Machine.,high
wiki_alan_turing_117,2,Bletchley Park,Bletchley Park,Organization,The Secrets of Station X: How the Bletchley Park codebreakers helped win the war.,wikipedia,The Secrets of Station X: How the Bletchley Park codebreakers helped win the war.,high
wiki_alan_turing_118,2,Alan M Turing,Alan M Turing,Person,Alan M Turing.,wikipedia,Alan M Turing.,medium
wiki_alan_turing_119,2,Alan M,Alan M,Person,Alan M.,wikipedia,Alan M.,medium
wiki_alan_turing_124,1,Alan Turing,Alan Turing,Person,Alan Turing plaques Archived 24 April 2024 at the Wayback Machine on openplaques.org,wikipedia,Alan Turing plaques Archived 24 April 2024 at the Wayback Machine on openplaques.org,high
wiki_alan_turing_126,1,King's College,King's College,Organization,"The Turing Digital Archive – contains scans of some unpublished documents and material - King's College, Cambridge",wikipedia,"The Turing Digital Archive – contains scans of some unpublished documents and material - King's College, Cambridge",high
wiki_alan_turing_127,3,John von Neumann,John von Neumann,Person,Metropolis was the first director of computing services at Los Alamos National Laboratory; topics include the relationship between Turing and John von Neumann,wikipedia,Metropolis was the first director of computing services at Los Alamos National Laboratory; topics include the relationship between Turing and John von Neumann,high
wiki_alan_turing_128,3,Alan Turing,Alan Turing,Person,"""Alan Turing – Towards a Digital Mind: Part 1"".",wikipedia,"""Alan Turing – Towards a Digital Mind: Part 1"".",high
wiki_turing_machine_001,1,Turing machine,Turing machine,Theory,A Turing machine is a mathematical model of computation describing an abstract machine that manipulates symbols on a strip of tape according to a table of rules.,wikipedia,A Turing machine is a mathematical model of computation describing an abstract machine that manipulates symbols on a strip of tape according to a table of rules.,medium
wiki_turing_machine_003,1,Turing machine,Turing machine,Theory,"As with a real computer program, it is possible for a Turing machine to go into an infinite loop which will never halt.",wikipedia,"As with a real computer program, it is possible for a Turing machine to go into an infinite loop which will never halt.",medium
wiki_turing_machine_004,1,Turing machine,Turing machine,Theory,"The Turing machine was invented in 1936 by Alan Turing, who called it an ""a-machine"" (automatic machine).",wikipedia,"The Turing machine was invented in 1936 by Alan Turing, who called it an ""a-machine"" (automatic machine).",medium
wiki_turing_machine_004,1,Alan Turing,Alan Turing,Person,"The Turing machine was invented in 1936 by Alan Turing, who called it an ""a-machine"" (automatic machine).",wikipedia,"The Turing machine was invented in 1936 by Alan Turing, who called it an ""a-machine"" (automatic machine).",high
wiki_turing_machine_004,2,Alonzo Church,Alonzo Church,Person,"It was Turing's doctoral advisor, Alonzo Church, who later coined the term ""Turing machine"" in a review.",wikipedia,"It was Turing's doctoral advisor, Alonzo Church, who later coined the term ""Turing machine"" in a review.",high
wiki_turing_machine_004,2,Turing machine,Turing machine,Theory,"It was Turing's doctoral advisor, Alonzo Church, who later coined the term ""Turing machine"" in a review.",wikipedia,"It was Turing's doctoral advisor, Alonzo Church, who later coined the term ""Turing machine"" in a review.",medium
wiki_turing_machine_010,1,Turing machine,Turing machine,Theory,Turing completeness is the ability for a model of computation or a system of instructions to simulate a Turing machine.,wikipedia,Turing completeness is the ability for a model of computation or a system of instructions to simulate a Turing machine.,medium
wiki_turing_machine_011,1,Turing machine,Turing machine,Theory,"A Turing machine is an idealised model of a central processing unit (CPU) that controls all data manipulation done by a computer, with the canonical machine using sequential memory to store data.",wikipedia,"A Turing machine is an idealised model of a central processing unit (CPU) that controls all data manipulation done by a computer, with the canonical machine using sequential memory to store data.",medium
wiki_turing_machine_012,1,Turing machine,Turing machine,Theory,"In the context of formal language theory, a Turing machine (automaton) is capable of enumerating some arbitrary subset of valid strings of an alphabet.",wikipedia,"In the context of formal language theory, a Turing machine (automaton) is capable of enumerating some arbitrary subset of valid strings of an alphabet.",medium
wiki_turing_machine_012,3,Turing machine,Turing machine,Theory,"The Turing machine can equivalently be defined as a model that recognises valid input strings, rather than enumerating output strings.",wikipedia,"The Turing machine can equivalently be defined as a model that recognises valid input strings, rather than enumerating output strings.",medium
wiki_turing_machine_013,1,Turing machine,Turing machine,Theory,"Given a Turing machine M and an arbitrary string s, it is generally not possible to decide whether M will eventually produce s.",wikipedia,"Given a Turing machine M and an arbitrary string s, it is generally not possible to decide whether M will eventually produce s.",medium
wiki_turing_machine_014,1,Turing machine,Turing machine,Theory,"A Turing machine that is able to simulate any other Turing machine is called a universal Turing machine (UTM, or simply a universal machine).",wikipedia,"A Turing machine that is able to simulate any other Turing machine is called a universal Turing machine (UTM, or simply a universal machine).",medium
wiki_turing_machine_014,2,Alonzo Church,Alonzo Church,Person,"Another mathematical formalism, lambda calculus, with a similar ""universal"" nature was introduced by Alonzo Church.",wikipedia,"Another mathematical formalism, lambda calculus, with a similar ""universal"" nature was introduced by Alonzo Church.",high
wiki_turing_machine_017,1,Turing machine,Turing machine,Theory,The Turing machine mathematically models a machine that mechanically operates on a tape.,wikipedia,The Turing machine mathematically models a machine that mechanically operates on a tape.,medium
wiki_turing_machine_017,4,On Computable Numbers,On Computable Numbers,Work,"In the original article (""On Computable Numbers, with an Application to the Entscheidungsproblem"", see also references below), Turing imagines not a mechanism, but a person whom he calls the ""computer"", who executes these deterministic mechanical rules slavishly (or as Turing puts it, ""in a desultory manner"").",wikipedia,"In the original article (""On Computable Numbers, with an Application to the Entscheidungsproblem"", see also references below), Turing imagines not a mechanism, but a person whom he calls the ""computer"", who executes these deterministic mechanical rules slavishly (or as Turing puts it, ""in a desultory manner"").",high
wiki_turing_machine_018,4,Turing machine,Turing machine,Theory,"The tape is assumed to be arbitrarily extendable to the left and to the right, so that the Turing machine is always supplied with as much tape as it needs for its computation.",wikipedia,"The tape is assumed to be arbitrarily extendable to the left and to the right, so that the Turing machine is always supplied with as much tape as it needs for its computation.",medium
wiki_turing_machine_020,1,Turing machine,Turing machine,Theory,"A state register that stores the state of the Turing machine, one of finitely many.",wikipedia,"A state register that stores the state of the Turing machine, one of finitely many.",medium
wiki_turing_machine_025,1,Turing machine,Turing machine,Theory,"Following Hopcroft & Ullman (1979), a (one-tape) Turing machine can be formally defined as a 7-tuple",wikipedia,"Following Hopcroft & Ullman (1979), a (one-tape) Turing machine can be formally defined as a 7-tuple",medium
wiki_turing_machine_032,1,Turing machine,Turing machine,Theory,The 7-tuple for the 3-state busy beaver looks like this (see more about this busy beaver at Turing machine examples):,wikipedia,The 7-tuple for the 3-state busy beaver looks like this (see more about this busy beaver at Turing machine examples):,medium
wiki_turing_machine_035,1,Turing machine,Turing machine,Theory,"The shift left and shift right operations may shift the tape head across the tape, but when actually building a Turing machine it is more practical to make the tape slide back and forth under the head instead.",wikipedia,"The shift left and shift right operations may shift the tape head across the tape, but when actually building a Turing machine it is more practical to make the tape slide back and forth under the head instead.",medium
wiki_turing_machine_045,3,Turing machine,Turing machine,Theory,For examples see Turing machine examples.,wikipedia,For examples see Turing machine examples.,medium
wiki_turing_machine_058,1,Turing machine,Turing machine,Theory,Many machines that might be thought to have more computational capability than a simple universal Turing machine can be shown to have no more power (Hopcroft and Ullman p.,wikipedia,Many machines that might be thought to have more computational capability than a simple universal Turing machine can be shown to have no more power (Hopcroft and Ullman p.,medium
wiki_turing_machine_058,6,Turing machine,Turing machine,Theory,"(The Church–Turing thesis hypothesises this to be true for any kind of machine: that anything that can be ""computed"" can be computed by some Turing machine.)",wikipedia,"(The Church–Turing thesis hypothesises this to be true for any kind of machine: that anything that can be ""computed"" can be computed by some Turing machine.)",medium
wiki_turing_machine_059,1,Turing machine,Turing machine,Theory,A Turing machine is equivalent to a single-stack pushdown automaton (PDA) that has been made more flexible and concise by relaxing the last-in-first-out (LIFO) requirement of its stack.,wikipedia,A Turing machine is equivalent to a single-stack pushdown automaton (PDA) that has been made more flexible and concise by relaxing the last-in-first-out (LIFO) requirement of its stack.,medium
wiki_turing_machine_059,2,Turing machine,Turing machine,Theory,"In addition, a Turing machine is also equivalent to a two-stack PDA with standard LIFO  semantics, by using one stack to model the tape left of the head and the other stack for the tape to the right.",wikipedia,"In addition, a Turing machine is also equivalent to a two-stack PDA with standard LIFO  semantics, by using one stack to model the tape left of the head and the other stack for the tape to the right.",medium
wiki_turing_machine_060,2,Turing machine,Turing machine,Theory,to have the same computational power as the Turing machine model.,wikipedia,to have the same computational power as the Turing machine model.,medium
wiki_turing_machine_061,1,Turing machine,Turing machine,Theory,"Common equivalent models are the multi-tape Turing machine, multi-track Turing machine, machines with input and output, and the non-deterministic Turing machine (NDTM) as opposed to the deterministic Turing machine (DTM) for which the action table has at most one entry for each combination of symbol and state.",wikipedia,"Common equivalent models are the multi-tape Turing machine, multi-track Turing machine, machines with input and output, and the non-deterministic Turing machine (NDTM) as opposed to the deterministic Turing machine (DTM) for which the action table has at most one entry for each combination of symbol and state.",medium
wiki_turing_machine_064,2,Turing machine,Turing machine,Theory,"While the computation of a real computer is based on finite states and thus not capable to simulate a Turing machine, programming languages themselves do not necessarily have this limitation.",wikipedia,"While the computation of a real computer is based on finite states and thus not capable to simulate a Turing machine, programming languages themselves do not necessarily have this limitation.",medium
wiki_turing_machine_069,1,Turing machine,Turing machine,Theory,"This is indeed the technique by which a deterministic (i.e., a-) Turing machine can be used to mimic the action of a nondeterministic Turing machine; Turing solved the matter in a footnote and appears to dismiss it from further consideration.",wikipedia,"This is indeed the technique by which a deterministic (i.e., a-) Turing machine can be used to mimic the action of a nondeterministic Turing machine; Turing solved the matter in a footnote and appears to dismiss it from further consideration.",medium
wiki_turing_machine_074,1,Turing machine,Turing machine,Theory,"In terms of computational complexity, a multi-tape universal Turing machine need only be slower by logarithmic factor compared to the machines it simulates.",wikipedia,"In terms of computational complexity, a multi-tape universal Turing machine need only be slower by logarithmic factor compared to the machines it simulates.",medium
wiki_turing_machine_075,3,Turing machine,Turing machine,Theory,"What is neglected in this statement is that, because a real machine can only have a finite number of configurations, it is nothing but a finite-state machine, whereas a Turing machine has an unlimited amount of storage space available for its computations.",wikipedia,"What is neglected in this statement is that, because a real machine can only have a finite number of configurations, it is nothing but a finite-state machine, whereas a Turing machine has an unlimited amount of storage space available for its computations.",medium
wiki_turing_machine_077,1,Turing machine,Turing machine,Theory,"Anything a real computer can compute, a Turing machine can also compute.",wikipedia,"Anything a real computer can compute, a Turing machine can also compute.",medium
wiki_turing_machine_077,2,Turing machine,Turing machine,Theory,"For example: ""A Turing machine can simulate any type of subroutine found in programming languages, including recursive procedures and any of the known parameter-passing mechanisms"" (Hopcroft and Ullman p.",wikipedia,"For example: ""A Turing machine can simulate any type of subroutine found in programming languages, including recursive procedures and any of the known parameter-passing mechanisms"" (Hopcroft and Ullman p.",medium
wiki_turing_machine_078,1,Turing machine,Turing machine,Theory,The difference lies only with the ability of a Turing machine to manipulate an unbounded amount of data.,wikipedia,The difference lies only with the ability of a Turing machine to manipulate an unbounded amount of data.,medium
wiki_turing_machine_078,2,Turing machine,Turing machine,Theory,"However, given a finite amount of time, a Turing machine (like a real machine) can only manipulate a finite amount of data.",wikipedia,"However, given a finite amount of time, a Turing machine (like a real machine) can only manipulate a finite amount of data.",medium
wiki_turing_machine_079,1,Turing machine,Turing machine,Theory,"Like a Turing machine, a real machine can have its storage space enlarged as needed, by acquiring more disks or other storage media.",wikipedia,"Like a Turing machine, a real machine can have its storage space enlarged as needed, by acquiring more disks or other storage media.",medium
wiki_turing_machine_080,2,Turing machine,Turing machine,Theory,"For example, a Turing machine describing an algorithm may have a few hundred states, while the equivalent deterministic finite automaton (DFA) on a given real machine has quadrillions.",wikipedia,"For example, a Turing machine describing an algorithm may have a few hundred states, while the equivalent deterministic finite automaton (DFA) on a given real machine has quadrillions.",medium
wiki_turing_machine_083,3,Turing machine,Turing machine,Theory,"Like the universal Turing machine, the RASP stores its ""program"" in ""memory"" external to its finite-state machine's ""instructions"".",wikipedia,"Like the universal Turing machine, the RASP stores its ""program"" in ""memory"" external to its finite-state machine's ""instructions"".",medium
wiki_turing_machine_083,4,Turing machine,Turing machine,Theory,"Unlike the universal Turing machine, the RASP has an infinite number of distinguishable, numbered but unbounded ""registers""—memory ""cells"" that can contain any integer (cf.",wikipedia,"Unlike the universal Turing machine, the RASP has an infinite number of distinguishable, numbered but unbounded ""registers""—memory ""cells"" that can contain any integer (cf.",medium
wiki_turing_machine_083,7,Turing machine,Turing machine,Theory,"The upshot of this distinction is that there are computational optimizations that can be performed based on the memory indices, which are not possible in a general Turing machine; thus when Turing machines are used as the basis for bounding running times, a ""false lower bound"" can be proven on certain algorithms' running times (due to the false simplifying assumption of a Turing machine).",wikipedia,"The upshot of this distinction is that there are computational optimizations that can be performed based on the memory indices, which are not possible in a general Turing machine; thus when Turing machines are used as the basis for bounding running times, a ""false lower bound"" can be proven on certain algorithms' running times (due to the false simplifying assumption of a Turing machine).",medium
