start_uid,end_uid,relation,evidence,source,confidence,extract_method,disputed,start_time,end_time,evidence_count
Person:neumann,Location:budapest,BORN_IN,"Von Neumann was born in Budapest, Kingdom of Hungary (then part of Austria-Hungary), on December 28, 1903, to a wealthy, non-observant Jewish family.",https://en.wikipedia.org/wiki/John_von_Neumann,high,rule,false,,,1
Person:shannon,Location:petoskey,BORN_IN,"The Shannon family lived in Gaylord, Michigan, and Claude was born in a hospital in nearby Petoskey.",https://en.wikipedia.org/wiki/Claude_Shannon,high,rule,false,,,1
Person:shannon,Organization:bell_labs,WORKED_AT,"Shannon had worked at Bell Labs for a few months in the summer of 1937, and returned there to work on fire-control systems and cryptography during World War II, under a contract with section D-2 (Control Systems section) of the National Defense Research Committee (NDRC).",https://en.wikipedia.org/wiki/Claude_Shannon,high,rule,false,,,1
Person:max_newman,Location:cambridge,DIED_IN,"He died in Cambridge in 1984, two years later.",https://en.wikipedia.org/wiki/Max_Newman,high,rule,false,,,1
Person:michie,Organization:government_code_and_cypher_school,WORKED_AT,"During World War II, Michie worked for the Government Code and Cypher School at Bletchley Park, contributing to the effort to solve ""Tunny"", a German teleprinter cipher.",https://en.wikipedia.org/wiki/Donald_Michie,high,rule,false,,,1
Person:michie,Location:rangoon,BORN_IN,"Michie was born in Rangoon, Burma.",https://en.wikipedia.org/wiki/Donald_Michie,high,rule,false,,,1
Person:donald_michie,Organization:balliol_college_oxford,EDUCATED_AT,"He attended Rugby School and won a scholarship to study classics at Balliol College, Oxford.",https://en.wikipedia.org/wiki/Donald_Michie,high,rule,false,,,1
Person:welchman,Artifact:bombe,INVENTED,"Welchman invented the ""Diagonal Board"", an addition which made the British Bombe immensely more powerful.",https://en.wikipedia.org/wiki/Gordon_Welchman,high,rule,false,,,1
Person:robin_gandy,Location:oxfordshire,BORN_IN,"Robin Gandy was born in the village of Rotherfield Peppard, Oxfordshire, England.",https://en.wikipedia.org/wiki/Robin_Gandy,high,rule,false,,,1
Person:gandy,Organization:abbotsholme_school,EDUCATED_AT,"Educated at Abbotsholme School in Derbyshire, Gandy took two years of the Mathematical Tripos, at King's College, Cambridge, before enlisting for military service in 1940.",https://en.wikipedia.org/wiki/Robin_Gandy,high,rule,false,,,1
Person:alan_turing,Artifact:bombe,INVENTED,"Alan Turing designed the British bombe on a more general principle, the assumption of the presence of text, called a crib,  that cryptanalysts could predict was likely to be present at a defined point in the message.",https://en.wikipedia.org/wiki/Bombe,high,rule,false,,,1
Person:alan_turing,Artifact:pilot_ace,INVENTED,"It was a preliminary version of the full ACE, which was designed by Alan Turing, who left NPL before construction of the Pilot ACE was completed.",https://en.wikipedia.org/wiki/Pilot_ACE,high,rule,false,,,1
Person:alan_turing,Artifact:bombe,INVENTED,The British bombe was an electromechanical device designed by Alan Turing soon after he arrived at Bletchley Park in September 1939.,https://en.wikipedia.org/wiki/Cryptanalysis_of_the_Enigma,high,rule,false,,,1
Person:alan_turing,Event:world_war_ii,AFFECTED_BY,"The provision is named after Alan Turing, the World War II codebreaker and computing pioneer, who was convicted of gross indecency in 1952.",https://en.wikipedia.org/wiki/Alan_Turing_law,high,rule,false,,,1
Person:alan_turing,Location:cambridge,DIED_IN,He died in Cambridge.,https://en.wikipedia.org/wiki/Abram_Besicovitch,high,rule,false,,,1
Person:alan_turing,Honor:turing_award,AWARDED,He received the Turing Award in 2003.,https://en.wikipedia.org/wiki/Alan_Kay,high,rule,false,,,1
Person:einstein,Person:einstein,COLLEAGUE_OF,"In 1935, Einstein collaborated with Nathan Rosen to produce a model of a wormhole, often called Einstein–Rosen bridges.",https://en.wikipedia.org/wiki/Albert_Einstein,high,rule,false,,,1
Person:glennie,Person:alan_turing,COLLEAGUE_OF,"Glennie worked with Alan Turing on several projects, including the Manchester Mark 1.",https://en.wikipedia.org/wiki/Alick_Glennie,high,rule,false,,,1
Person:hodges,Location:london,BORN_IN,"Hodges was born in London in 1949 and educated at Birkbeck, University of London, where he was awarded his Doctor of Philosophy degree in 1975 for research on twistor theory supervised by Roger Penrose.",https://en.wikipedia.org/wiki/Andrew_Hodges,high,rule,false,,,1
Person:joan_clarke,Artifact:enigma_machine,WORKED_ON,"He worked on the German Enigma machine at Bletchley Park during the Second World War, and was later the head of the cryptanalysis division at GCHQ for 25 years.",https://en.wikipedia.org/wiki/Conel_Hugh_O%27Donel_Alexander,high,rule,false,,,1
Person:alexander,Organization:king_s_college_cambridge,EDUCATED_AT,"Alexander won a scholarship to study mathematics at King's College, Cambridge, in 1928, graduating with a first in 1931.",https://en.wikipedia.org/wiki/Conel_Hugh_O%27Donel_Alexander,high,rule,false,,,1
Person:alexander,Organization:king_s_college_cambridge,EDUCATED_AT,"Alexander represented Cambridge University in the Varsity chess matches of 1929, 1930, 1931 and 1932 (he studied at King's College, Cambridge).",https://en.wikipedia.org/wiki/Conel_Hugh_O%27Donel_Alexander,high,rule,false,,,1
Person:ayer,Organization:university_of_oxford,EDUCATED_AT,"Ayer was educated at Eton College and the University of Oxford, after which he studied the philosophy of logical positivism at the University of Vienna.",https://en.wikipedia.org/wiki/A._J._Ayer,high,rule,false,,,1
Person:ayer,Location:london,BORN_IN,"Ayer was born in St John's Wood, in north west London, to Jules Louis Cyprien Ayer and Reine (née Citroen), wealthy parents from continental Europe.",https://en.wikipedia.org/wiki/A._J._Ayer,high,rule,false,,,1
Person:alonzo_church,Organization:university_of_manchester,EDUCATED_AT,"He was educated at Queen Mary College, London, and had a Master of Arts degree from the University of Manchester, where his philosophy teacher was Dorothy Emmet and his fellow student was Herbert McCabe and from the University of Oxford.",https://en.wikipedia.org/wiki/Alasdair_MacIntyre,high,rule,false,,,1
Person:whitehead,Person:whitehead,FRIEND_OF,"Griffin relates how Bertrand Russell, a colleague and collaborator of Whitehead, was a very close friend of Whitehead and of his wife, Evelyn.",https://en.wikipedia.org/wiki/Alfred_North_Whitehead,high,rule,false,,,1
Person:flew,Location:london,BORN_IN,"Antony Flew, the son of Methodist minister and theologian Robert Newton Flew (1886–1962) and his wife Winifred née Garrard (1887–1982), was born in London.",https://en.wikipedia.org/wiki/Antony_Flew,high,rule,false,,,1
Person:taub,Person:john_von_neumann,COLLEAGUE_OF,"At Princeton, Taub collaborated with Walker Bleakney and John von Neumann on terminal ballistics and shock waves during WWII, and was also influenced by Oswald Veblen.",https://en.wikipedia.org/wiki/Abraham_H._Taub,high,rule,false,,,1
Person:alivisatos,Organization:bell_labs,WORKED_AT,"After receiving his doctorate, Alivisatos joined AT&T Bell Labs working with Louis E.",https://en.wikipedia.org/wiki/Paul_Alivisatos,high,rule,false,,,1
Person:shannon,Location:petoskey,BORN_IN,"Shannon was born in Petoskey, Michigan in 1916 and grew up in Gaylord, Michigan.",https://en.wikipedia.org/wiki/A_Mind_at_Play,high,rule,false,,,1
Person:max_newman,Honor:order_of_the_british_empire,AWARDED,"He is best known for proving Fermat's Last Theorem, for which he was awarded the 2016 Abel Prize and the 2017 Copley Medal and for which he was appointed a Knight Commander of the Order of the British Empire in 2000.",https://en.wikipedia.org/wiki/Andrew_Wiles,high,rule,false,,,1
Person:wiles,Location:cambridge,BORN_IN,Wiles was born in Cambridge to theologian Maurice Frank Wiles and Patricia Wiles.,https://en.wikipedia.org/wiki/Andrew_Wiles,high,rule,false,,,1
Organization:university_of_oxford,Person:wiles,NAMED_AFTER,The building at the University of Oxford housing the Mathematical Institute was named after Wiles in 2013.,https://en.wikipedia.org/wiki/Andrew_Wiles,high,rule,false,,,1
Person:arthur_cayley,Location:london,BORN_IN,"Arthur Cayley was born in Richmond, London, England, on 16 August 1821.",https://en.wikipedia.org/wiki/Arthur_Cayley,high,rule,false,,,1
Person:russell,Organization:university_of_cambridge,EDUCATED_AT,"Russell was educated at Trinity College at the University of Cambridge, where he graduated in 1893.",https://en.wikipedia.org/wiki/Bertrand_Russell,high,rule,false,,,1
Person:russell,Person:russell,COLLEAGUE_OF,"From 1966 to 1967, Russell worked with Jean-Paul Sartre and many other intellectual figures to form the Russell Vietnam War Crimes Tribunal to investigate the conduct of the United States in Vietnam.",https://en.wikipedia.org/wiki/Bertrand_Russell,high,rule,false,,,1
