entity_uid,entity_label,entity_text,attribute_name,attribute_value,evidence,source,confidence,extract_method
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,He returned to Bletchley Park in March 1943.,https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bell_labs,Organization,Bell Labs,org_type,laboratory,"Following his work at Bell Labs in the US, Turing pursued the idea of electronic enciphering of speech in the telephone system.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bell_labs,Organization,Bell Labs,org_type,laboratory,"Turing also consulted with Bell Labs on the development of SIGSALY, a secure voice system that was used in the later years of the war.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"Although ACE was a feasible design, the effect of the Official Secrets Act surrounding the wartime work at Bletchley Park made it impossible for Turing to explain the basis of his analysis of how a computer installation involving human operators would work.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:university_of_mancheste,Organization,University of Mancheste,org_type,university,"In 1948, Turing was appointed reader in the Mathematics Department at the University of Manchester.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,programmer,"Turing wrote the first version of the Programmer's Manual for this machine, was elected to membership of the Manchester Literary and Philosophical Society, and was recruited by Ferranti as a consultant in the development of their commercialised machine, the Ferranti Mark 1.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,mathematician,"In 1941, Turing proposed marriage to Hut 8 colleague Joan Clarke, a fellow mathematician and cryptanalyst, but their engagement was short-lived.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,cryptanalyst,"In 1941, Turing proposed marriage to Hut 8 colleague Joan Clarke, a fellow mathematician and cryptanalyst, but their engagement was short-lived.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:foreign_office,Organization,Foreign Office,org_type,office,"His trial took place only months after the defection to the Soviet Union of Guy Burgess and Donald Maclean, in summer 1951, after which the Foreign Office started to consider anyone known to be homosexual as a potential security risk.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,philosopher,Philosopher Jack Copeland has questioned various aspects of the coroner's historical verdict.,https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,programmer,"In August 2009, British programmer John Graham-Cumming started a petition urging the British government to apologise for Turing's prosecution as a homosexual.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,nationality,British,"In August 2009, British programmer John Graham-Cumming started a petition urging the British government to apologise for Turing's prosecution as a homosexual.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,physicist,"Leech continued to take the bill through Parliament and campaigned for several years, gaining the public support of numerous leading scientists, including the physicist Stephen Hawking.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,philosopher,The Works of Charles Babbage: Passages from the Life of a Philosopher.,https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,The Secrets of Station X: How the Bletchley Park codebreakers helped win the war.,https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,occupation,cryptanalyst,"Joan Elisabeth Lowther Murray, MBE (née Clarke; 24 June 1917 – 4 September 1996) was an English cryptanalyst and numismatist who worked as a code-breaker at Bletchley Park during the Second World War.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,nationality,English,"Joan Elisabeth Lowther Murray, MBE (née Clarke; 24 June 1917 – 4 September 1996) was an English cryptanalyst and numismatist who worked as a code-breaker at Bletchley Park during the Second World War.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"Joan Elisabeth Lowther Murray, MBE (née Clarke; 24 June 1917 – 4 September 1996) was an English cryptanalyst and numismatist who worked as a code-breaker at Bletchley Park during the Second World War.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Organization:government_code_and_cypher_school,Organization,Government Code and Cypher School,org_type,school,"Just before the outbreak of World War II, Welchman and three other top mathematicians were recruited to the Government Code and Cypher School, which aimed to break the German Enigma Code.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"She arrived at Bletchley Park on 17 June 1940 and was initially placed in an all-women group, referred to as ""The Girls"", who mainly did routine clerical work.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"Clarke ended up working at Bletchley Park in the section known as Hut 8 with Alan Turing, whom she knew slightly through her older brother Michael.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,occupation,cryptanalyst,"In order to be paid for her promotion, Clarke needed to be classed as a linguist, as Civil Service bureaucracy had no protocols in place for a senior female cryptanalyst.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"Murray, Joan (1993), ""Hut 8 and naval Enigma, Part 1"", in Hinsley, F.H.; Stripp, Alan (eds.), Codebreakers: The inside story of Bletchley Park, Oxford: Oxford University Press, pp.",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,The Secrets of Station X: How the Bletchley Park codebreakers helped win the war.,https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:joan_clarke,Person,Joan Clarke,occupation,codebreaker,"""From the Archives: A Lady Codebreaker Speaks: Joan Murray, the Bombes and the Perils of Writing Crypto-History From Participants' Accounts"".",https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,Bletchley Park Research.,https://en.wikipedia.org/wiki/Joan_Clarke,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,birth_date,1903,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,death_date,"August 11, 1995","Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,occupation,computer scientist,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,occupation,mathematician,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,occupation,logician,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,occupation,philosopher,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,nationality,American,"Alonzo Church (June 14, 1903 – August 11, 1995) was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,birth_date,"June 14, 1903","Alonzo Church was born on June 14, 1903, in Washington, D.C., where his father, Samuel Robbins Church, was a justice of the peace and the judge of the Municipal Court for the District of Columbia.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo,Person,Alonzo,birth_date,1829,"He was the grandson of Alonzo Webster Church (1829-1909), United States Senate Librarian from 1881 to 1901, and great-grandson of Alonzo Church, a professor of Mathematics and Astronomy and 6th President of the University of Georgia.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo,Person,Alonzo,death_date,1909,"He was the grandson of Alonzo Webster Church (1829-1909), United States Senate Librarian from 1881 to 1901, and great-grandson of Alonzo Church, a professor of Mathematics and Astronomy and 6th President of the University of Georgia.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,occupation,professor,"He was the grandson of Alonzo Webster Church (1829-1909), United States Senate Librarian from 1881 to 1901, and great-grandson of Alonzo Church, a professor of Mathematics and Astronomy and 6th President of the University of Georgia.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Organization:princeton_university,Organization,Princeton University,org_type,university,"After graduating from Ridgefield in 1920, Church attended Princeton University, where he was an exceptional student.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Organization:princeton_university,Organization,Princeton University,org_type,university,"He received honorary Doctor of Science degrees from Case Western Reserve University in 1969, Princeton University in 1985, and the University at Buffalo, The State University of New York in 1990 in connection with an international symposium in his honor organized by John Corcoran.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,death_date,"August 11, 1995","He died on August 11, 1995, at the age of 92.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,occupation,author,"Haskell Curry, who expanded on Church's ideas with the concept of currying, stated that one of his textbooks, Introduction to Mathematical Logic (first published in 1944), was ""written with the meticulous precision which characterizes the author's work generally.""",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Organization:princeton_university,Organization,Princeton University,org_type,university,"Princeton University Library, Manuscripts Division, The Alonzo Church Papers, 1924–1995: finding aid.",https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,birth_date,1903,In memoriam: Alonzo Church (1903–1995) by Irving H.,https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:alonzo_church,Person,Alonzo Church,death_date,1995,In memoriam: Alonzo Church (1903–1995) by Irving H.,https://en.wikipedia.org/wiki/Alonzo_Church,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,"John von Neumann ( von NOY-mən; Hungarian: Neumann János Lajos [ˈnɒjmɒn ˈjaːnoʃ ˈlɒjoʃ]; December 28, 1903 – February 8, 1957) was a Hungarian and American mathematician, physicist, computer scientist and engineer.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,physicist,"John von Neumann ( von NOY-mən; Hungarian: Neumann János Lajos [ˈnɒjmɒn ˈjaːnoʃ ˈlɒjoʃ]; December 28, 1903 – February 8, 1957) was a Hungarian and American mathematician, physicist, computer scientist and engineer.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,computer scientist,"John von Neumann ( von NOY-mən; Hungarian: Neumann János Lajos [ˈnɒjmɒn ˈjaːnoʃ ˈlɒjoʃ]; December 28, 1903 – February 8, 1957) was a Hungarian and American mathematician, physicist, computer scientist and engineer.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,engineer,"John von Neumann ( von NOY-mən; Hungarian: Neumann János Lajos [ˈnɒjmɒn ˈjaːnoʃ ˈlɒjoʃ]; December 28, 1903 – February 8, 1957) was a Hungarian and American mathematician, physicist, computer scientist and engineer.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,nationality,Hungarian,"John von Neumann ( von NOY-mən; Hungarian: Neumann János Lajos [ˈnɒjmɒn ˈjaːnoʃ ˈlɒjoʃ]; December 28, 1903 – February 8, 1957) was a Hungarian and American mathematician, physicist, computer scientist and engineer.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,nationality,American,"John von Neumann ( von NOY-mən; Hungarian: Neumann János Lajos [ˈnɒjmɒn ˈjaːnoʃ ˈlɒjoʃ]; December 28, 1903 – February 8, 1957) was a Hungarian and American mathematician, physicist, computer scientist and engineer.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,"Von Neumann had perhaps the widest coverage of any mathematician of his time, integrating pure and applied sciences and making major contributions to many fields, including mathematics, physics, economics, computing, and statistics.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,engineer,"In 1926, he graduated as a chemical engineer from ETH Zurich and simultaneously passed his final examinations summa cum laude for his Ph.D.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,professor,"In 1929, he briefly became a Privatdozent at the University of Hamburg, where the prospects of becoming a tenured professor were better, then in October of that year moved to Princeton University as a visiting lecturer in mathematical physics.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Organization:princeton_university,Organization,Princeton University,org_type,university,"In 1929, he briefly became a Privatdozent at the University of Hamburg, where the prospects of becoming a tenured professor were better, then in October of that year moved to Princeton University as a visiting lecturer in mathematical physics.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,birth_date,1935,"Von Neumann and Marietta had a daughter, Marina, born in 1935; she would become a professor.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,professor,"Von Neumann and Marietta had a daughter, Marina, born in 1935; she would become a professor.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,Wigner wrote that he perhaps supervised more work (in a casual sense) than any other modern mathematician.,https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,Von Neumann's closest friend in the United States was the mathematician Stanisław Ulam.,https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,physicist,"Viewing von Neumann's work on quantum mechanics as a part of the fulfilment of Hilbert's sixth problem, mathematical physicist Arthur Wightman said in 1974 his axiomization of quantum theory was perhaps the most important axiomization of a physical theory to date.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,researcher,"Considered to be possibly ""the most influential researcher in scientific computing of all time"", von Neumann made several contributions to the field, both technically and administratively.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,"The mathematician Jean Dieudonné said that von Neumann ""may have been the last representative of a once-flourishing and numerous group, the great mathematicians who were equally at home in pure and applied mathematics and who throughout their careers maintained a steady production in both directions"".",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,physicist,Enrico Fermi told physicist Herbert L.,https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,"However, according to Rota, von Neumann still had an ""incomparably stronger technique"" compared to his friend, despite describing Ulam as the more creative mathematician.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,"I have often remarked this in the presence of those men, and no one ever disputed me.""It seems fair to say that if the influence of a scientist is interpreted broadly enough to include impact on fields beyond science proper, then John von Neumann was probably the most influential mathematician who ever lived,"" wrote Miklós Rédei.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,"Lax stated that von Neumann would have won a Nobel Prize in Economics had he lived longer, and that ""if there were Nobel Prizes in computer science and mathematics, he would have been honored by these, too."" Gian-Carlo Rota wrote that von Neumann ""was the first to have a vision of the boundless possibilities of computing, and he had the resolve to gather the considerable intellectual and engineering resources that led to the construction of the first large computer"" and consequently that ""No other mathematician in this century has had as deep and lasting an influence on the course of civilization."" He is widely regarded as one of the greatest and most influential mathematicians and scientists of the 20th century.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,mathematician,"Alongside his later papers were informal essays targeted at colleagues and the general public, such as his 1947 The Mathematician, described as a ""farewell to pure mathematics"", and his 1955 Can we survive technology?, which considered a bleak future including nuclear warfare and deliberate climate change.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,birth_date,1972,"She was an academic economist, the first woman to serve on the President's Council of Economic Advisers (1972–1973), and served as Vice President of Public Affairs at General Motors (1979–1992)—making her the highest-ranking woman in the U.S.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,death_date,1973,"She was an academic economist, the first woman to serve on the President's Council of Economic Advisers (1972–1973), and served as Vice President of Public Affairs at General Motors (1979–1992)—making her the highest-ranking woman in the U.S.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,birth_date,1979,"She was an academic economist, the first woman to serve on the President's Council of Economic Advisers (1972–1973), and served as Vice President of Public Affairs at General Motors (1979–1992)—making her the highest-ranking woman in the U.S.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,death_date,1992,"She was an academic economist, the first woman to serve on the President's Council of Economic Advisers (1972–1973), and served as Vice President of Public Affairs at General Motors (1979–1992)—making her the highest-ranking woman in the U.S.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,professor,She was also Professor Emerita at the University of Michigan.,https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Organization:princeton_university,Organization,Princeton University,org_type,university,"Oral History Project - The Princeton Mathematics Community in the 1930s, contains many interviews that describe contact and anecdotes of von Neumann and others at the Princeton University and Institute for Advanced Study community.",https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:john_von_neumann,Person,John von Neumann,occupation,professor,Biographical video by David Brailsford (John Dunford Professor Emeritus of computer science at the University of Nottingham),https://en.wikipedia.org/wiki/John_von_Neumann,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,birth_date,1916,"Claude Elwood Shannon (April 30, 1916 – February 24, 2001) was an American polymath who was a mathematician, electrical engineer, computer scientist, cryptographer, and inventor known as the ""father of information theory"", and the man who laid the foundations of the Information Age.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,death_date,"February 24, 2001","Claude Elwood Shannon (April 30, 1916 – February 24, 2001) was an American polymath who was a mathematician, electrical engineer, computer scientist, cryptographer, and inventor known as the ""father of information theory"", and the man who laid the foundations of the Information Age.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,occupation,mathematician,"Claude Elwood Shannon (April 30, 1916 – February 24, 2001) was an American polymath who was a mathematician, electrical engineer, computer scientist, cryptographer, and inventor known as the ""father of information theory"", and the man who laid the foundations of the Information Age.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,occupation,engineer,"Claude Elwood Shannon (April 30, 1916 – February 24, 2001) was an American polymath who was a mathematician, electrical engineer, computer scientist, cryptographer, and inventor known as the ""father of information theory"", and the man who laid the foundations of the Information Age.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,occupation,computer scientist,"Claude Elwood Shannon (April 30, 1916 – February 24, 2001) was an American polymath who was a mathematician, electrical engineer, computer scientist, cryptographer, and inventor known as the ""father of information theory"", and the man who laid the foundations of the Information Age.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,nationality,American,"Claude Elwood Shannon (April 30, 1916 – February 24, 2001) was an American polymath who was a mathematician, electrical engineer, computer scientist, cryptographer, and inventor known as the ""father of information theory"", and the man who laid the foundations of the Information Age.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,occupation,engineer,"The roboticist Rodney Brooks declared Shannon the 20th century engineer who contributed the most to 21st century technologies, and the mathematician Solomon W.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
Person:claude_shannon,Person,Claude Shannon,occupation,mathematician,"The roboticist Rodney Brooks declared Shannon the 20th century engineer who contributed the most to 21st century technologies, and the mathematician Solomon W.",https://en.wikipedia.org/wiki/Claude_Shannon,high,regex_rule
